question_id,image_width,image_height,image_tokens,multimodal_input_tokens,text_only_input_tokens,multimodal_processor_ms,text_only_processor_ms,multimodal_transfer_ms,text_only_transfer_ms,multimodal_forward_ms,text_only_forward_ms,vision_encoder_ms,multimodal_language_model_ms,text_only_language_model_ms,multimodal_other_ms,text_only_other_ms,visual_path_delta_ms,language_model_visual_token_delta_ms,multimodal_decode_ms,text_only_decode_ms,decode_visual_cache_delta_ms,multimodal_decode_ms_per_token,text_only_decode_ms_per_token
241,302,232,80,340,258,7.948624988785014,5.999583983793855,4.640250001102686,1.2607910030055791,1239.615833008429,690.5846669978928,375.38824998773634,833.174915984273,678.8850000011735,31.052667036419734,11.699666996719316,549.0311660105363,154.2899159830995,0.0,0.0,0.0,0.0,0.0
252,302,232,80,360,278,10.260624985676259,5.045875004725531,2.3862500092945993,3.656624990981072,1232.4100419937167,703.953582997201,364.1726659843698,834.6913330024108,686.4297919964883,33.54604300693609,17.523791000712663,528.4564589965157,148.26154100592248,0.0,0.0,0.0,0.0,0.0
254,232,302,80,337,255,12.293957988731563,4.5914579823147506,3.36287499521859,1.714250014629215,1296.99079200509,753.6975420080125,377.32387500000186,860.3449579968583,731.3162500213366,59.321959008229896,22.381291986675933,543.2932499970775,129.02870797552168,0.0,0.0,0.0,0.0,0.0
256,302,232,80,363,281,6.704958010232076,5.699458008166403,1.6722920117899776,1.3821669854223728,1337.626166001428,735.2342919912189,370.2587919833604,904.1797090030741,713.4262089966796,63.1876650149934,21.80808299453929,602.391874010209,190.75350000639446,0.0,0.0,0.0,0.0,0.0
258,302,232,80,338,256,9.199166990583763,5.267708009341732,2.8733329963870347,1.2329589808359742,1270.006665989058,637.2608339879662,361.3162499968894,839.3208750057966,609.0508330089506,69.36954098637216,28.210000979015604,632.7458320010919,230.27004199684598,0.0,0.0,0.0,0.0,0.0
264,312,237,70,217,145,7.308249972993508,3.6407909938134253,6.970417016418651,1.2795829970855266,988.7509590189438,609.7150419955142,355.31937499763444,561.3152089936193,587.8601250005886,72.11637502769008,21.85491699492559,379.03591702342965,-26.544916006969288,0.0,0.0,0.0,0.0,0.0
267,512,398,192,274,80,10.01741600339301,3.5983750130981207,6.261083006393164,1.4538750110659748,1655.015791009646,490.1934159861412,861.1428750155028,706.2364580051508,462.6632090075873,87.63645798899233,27.530206978553906,1164.8223750235047,243.5732489975635,0.0,0.0,0.0,0.0,0.0
269,202,202,64,214,148,6.9727079826407135,2.8807499911636114,2.547332987887785,1.3636669900733978,971.5519590245094,452.3069170245435,339.6567919990048,564.9956249981187,431.7969170224387,66.8995420273859,20.51000000210479,519.2450419999659,133.19870797568,0.0,0.0,0.0,0.0,0.0
274,202,202,64,165,99,6.4996669825632125,3.444708010647446,2.426291990559548,1.6885839868336916,849.1442500089761,369.9359580059536,304.31941599817947,481.27124999882653,344.8723329929635,63.55358401197009,25.063625012990087,479.2082920030225,136.39891700586304,0.0,0.0,0.0,0.0,0.0
278,202,202,64,169,103,4.869500000495464,2.5582500093150884,3.470124996965751,1.8179590115323663,820.6165000156034,363.4655420028139,287.5495000043884,469.69654198619537,337.76325001963414,63.370458025019616,25.702291983179748,457.1509580127895,131.93329196656123,0.0,0.0,0.0,0.0,0.0
295,364,208,66,137,69,6.58983297762461,2.2070829872973263,6.034041987732053,5.541790975257754,816.8105000222567,332.03120800317265,335.9496670018416,411.4876249805093,308.04058400099166,69.37320803990588,23.990624002180994,484.7792920190841,103.44704097951762,0.0,0.0,0.0,0.0,0.0
302,314,283,90,195,103,6.908459006808698,2.4730000004637986,2.1270410215947777,1.43012500484474,1119.3468749988824,307.7146249997895,472.77749999193475,577.3640830011573,291.016416013008,69.2052920057904,16.698208986781538,811.6322499990929,286.3476669881493,0.0,0.0,0.0,0.0,0.0
308,342,453,154,341,185,11.142750008730218,6.008374999510124,4.817999986698851,1.4802500081714243,1625.6333329947665,520.1470000029076,690.2741660014726,874.110250006197,491.0083749855403,61.24891698709689,29.138625017367303,1105.486332991859,383.10187502065673,0.0,0.0,0.0,0.0,0.0
313,342,453,154,341,185,12.231000000610948,3.939165995689109,2.9325000068638474,1.9311250071041286,1652.6275830110535,438.16616700496525,722.3117079993244,897.3870420013554,426.92883298150264,32.92883301037364,11.237334023462608,1214.4614160060883,470.4582090198528,0.0,0.0,0.0,0.0,0.0
316,294,129,78,172,92,8.103666012175381,3.6069590132683516,2.6455839979462326,3.89633298618719,961.0129579959903,363.5792919958476,420.1565420080442,469.9552090023644,346.1734160082415,70.90120698558167,17.405875987606123,597.4336660001427,123.78179299412295,0.0,0.0,0.0,0.0,0.0
344,318,371,120,291,169,9.337291994597763,3.6262079956941307,7.171250006649643,6.1746670107822865,1423.1439589930233,459.2113340040669,603.098667023005,755.0577920046635,441.7309580021538,64.9874999653548,17.4803760019131,963.9326249889564,313.3268340025097,0.0,0.0,0.0,0.0,0.0
